175.0,200.0,60.0,-0.0,-0.0,-1.0
175.0,197.01492537313433,60.0,-0.0,-0.0,-1.0
175.0,194.02985074626866,60.0,-0.0,-0.0,-1.0
175.0,191.044776119403,60.0,-0.0,-0.0,-1.0
175.0,188.0597014925373,60.0,-0.0,-0.0,-1.0
175.0,185.07462686567163,60.0,-0.0,-0.0,-1.0
175.0,182.08955223880596,60.0,-0.0,-0.0,-1.0
175.0,179.1044776119403,60.0,-0.0,-0.0,-1.0
175.0,176.11940298507463,60.0,-0.0,-0.0,-1.0
175.0,173.13432835820896,60.0,-0.0,-0.0,-1.0
175.0,170.1492537313433,60.0,-0.0,-0.0,-1.0
175.0,167.16417910447763,60.0,-0.0,-0.0,-1.0
175.0,164.17910447761196,60.0,-0.0,-0.0,-1.0
175.0,161.1940298507463,60.0,-0.0,-0.0,-1.0
175.0,158.2089552238806,60.0,-0.0,-0.0,-1.0
175.0,155.22388059701495,60.0,-0.0,-0.0,-1.0
175.0,152.23880597014926,60.0,-0.0,-0.0,-1.0
175.0,149.25373134328362,60.0,-0.0,-0.0,-1.0
175.0,146.26865671641792,60.0,-0.0,-0.0,-1.0
175.0,143.28358208955225,60.0,-0.0,-0.0,-1.0
175.0,140.2985074626866,60.0,-0.0,-0.0,-1.0
175.0,137.31343283582092,60.0,-0.0,-0.0,-1.0
175.0,134.32835820895525,60.0,-0.0,-0.0,-1.0
175.0,131.34328358208958,60.0,-0.0,-0.0,-1.0
175.0,128.35820895522392,60.0,-0.0,-0.0,-1.0
175.0,125.37313432835825,60.0,-0.0,-0.0,-1.0
175.0,122.38805970149258,60.0,-0.0,-0.0,-1.0
175.0,119.40298507462691,60.0,-0.0,-0.0,-1.0
175.0,116.41791044776124,60.0,-0.0,-0.0,-1.0
175.0,113.43283582089558,60.0,-0.0,-0.0,-1.0
175.0,110.44776119402991,60.0,-0.0,-0.0,-1.0
175.0,107.46268656716424,60.0,-0.0,-0.0,-1.0
175.0,104.47761194029856,60.0,-0.0,-0.0,-1.0
175.0,101.49253731343289,60.0,-0.0,-0.0,-1.0
175.0,98.50746268656722,60.0,-0.0,-0.0,-1.0
175.0,95.52238805970154,60.0,-0.0,-0.0,-1.0
175.0,92.53731343283587,60.0,-0.0,-0.0,-1.0
175.0,89.55223880597019,60.0,-0.0,-0.0,-1.0
175.0,86.56716417910451,60.0,-0.0,-0.0,-1.0
175.0,83.58208955223883,60.0,-0.0,-0.0,-1.0
175.0,80.59701492537314,60.0,-0.0,-0.0,-1.0
175.0,77.61194029850746,60.0,-0.0,-0.0,-1.0
175.0,74.62686567164178,60.0,-0.0,-0.0,-1.0
175.0,71.64179104477611,60.0,-0.0,-0.0,-1.0
175.0,68.65671641791042,60.0,-0.0,-0.0,-1.0
175.0,65.67164179104475,60.0,-0.0,-0.0,-1.0
175.0,62.68656716417905,60.0,-0.0,-0.0,-1.0
175.0,59.701492537313385,60.0,-0.0,-0.0,-1.0
175.0,56.71641791044772,60.0,-0.0,-0.0,-1.0
175.0,53.73134328358202,60.0,-0.0,-0.0,-1.0
175.0,50.74626865671635,60.0,-0.0,-0.0,-1.0
175.0,47.76119402985066,60.0,-0.0,-0.0,-1.0
175.0,44.77611940298499,60.0,-0.0,-0.0,-1.0
175.0,41.79104477611929,60.0,-0.0,-0.0,-1.0
175.0,38.805970149253625,60.0,-0.0,-0.0,-1.0
175.0,35.82089552238793,60.0,-0.0,-0.0,-1.0
175.0,32.83582089552226,60.0,-0.0,-0.0,-1.0
175.0,29.850746268656593,60.0,-0.0,-0.0,-1.0
175.0,26.865671641790897,60.0,-0.0,-0.0,-1.0
175.0,23.88059701492523,60.0,-0.0,-0.0,-1.0
175.0,20.895522388059533,60.0,-0.0,-0.0,-1.0
175.0,17.910447761193865,60.0,-0.0,-0.0,-1.0
175.0,14.925373134328169,60.0,-0.0,-0.0,-1.0
175.0,11.9402985074625,60.0,-0.0,-0.0,-1.0
175.0,8.955223880596805,60.0,-0.0,-0.0,-1.0
175.0,5.970149253731137,60.0,-0.0,-0.0,-1.0
175.0,2.985074626865469,60.0,-0.0,-0.0,-1.0
175.0,0.0,60.0,-0.0,-0.0,-1.0
